"","TRAF4","CDH1","CDH2","VIM","FN1","ZEB1","ZEB2","SNAI1","SNAI2","SNAI3","TWIST1","TWIST2"
"TCGA.AZ.6607.01A.11R.1839.07",-0.357998051246116,-1.81987019934663,2.34628376062638,2.46417063469914,4.06257529345634,2.07225254798798,1.28707491802776,2.67404371685581,7.40077362713305,-0.635537132573902,7.61780070157027,1.99165208745951
"TCGA.AZ.6606.01A.11R.1839.07",-0.356098393430563,-1.03756421160115,-0.630456771545655,-0.77032263206747,-0.564985777637887,-0.626030529916682,-0.65431905463528,-0.723732496126084,-0.571491925033779,1.88008410216746,-0.623805847027213,-0.829765005371882
"TCGA.AD.6965.01A.11R.1928.07",-0.350481655638127,0.757470198586333,-0.369203313759761,-0.381273629202345,-0.519943429542344,-0.20088528324185,-0.388138884291558,-0.423242574942623,-0.312505139232339,-0.595296279119955,-0.534961260015598,-0.691541456994084
"TCGA.CM.6170.01A.11R.1653.07",-0.349257778898193,2.56204542714733,-0.317442412888253,-0.366534943209455,-0.231764522549309,-0.0966570315789125,0.139987360516398,-0.47674228376596,-0.070160391236685,-0.812560797319744,0.301008230938974,0.215015060352316
"TCGA.D5.6924.01A.11R.1928.07",-0.34566327123494,0.675145085255521,0.186518561903143,0.641003860523917,0.417600641958422,0.394417140681052,1.12810436462096,0.246769256268234,0.667584940978556,0.0149720265446089,-0.162953440615144,0.631310583894802
"TCGA.G4.6315.01A.11R.1723.07",-0.342480794025738,1.73160547556317,-0.588123517997976,-0.800336656987537,-0.156893450870556,-0.684231929541693,-0.737727463250569,-0.52470913364891,-0.778772385005578,-0.952570519571807,-0.655161465358005,-0.778464076218758
"TCGA.A6.6649.01A.11R.1774.07",-0.331624551424648,-0.677920138580631,-0.476662025745182,0.176899683189348,-0.490867321902692,0.755938806993679,0.568933681589566,-0.81824556723406,-0.0901183810794931,-0.144977670176787,-0.310229970162139,-0.0365730718765077
"TCGA.A6.6653.01A.11R.1774.07",-0.330751489997194,0.537001208256395,-0.476136241795868,-0.136433092400734,-0.399882086316139,-0.552323360228218,-0.46325701977237,-0.266377000624791,0.565104466045765,1.02571696610802,-0.300679753384548,0.0652163472251933
"TCGA.G4.6299.01A.11R.1774.07",-0.324589071058787,-1.45924198778305,0.28464255034996,0.593543967379329,0.423219108144767,-0.329791064325247,0.0160641519674205,0.156492761715645,0.46603203452525,1.2227814462907,1.32404218756901,0.278586334192677
"TCGA.A6.5664.01A.21R.1839.07",-0.320681102102157,-0.338006901600801,0.16057635831898,1.15581956257966,-0.197377996334388,0.583991416366405,1.16322177477781,-0.645814700610784,-0.083984035442972,0.641045827010789,-0.216492113418774,0.465346843295757
"TCGA.D5.5537.01A.21R.1928.07",-0.317910087225041,1.13145675750232,-0.252100524368466,-0.175576057372105,-0.383333425257091,0.12740393657558,-0.223051918938115,-0.672642684096591,-0.169286487515442,-0.802142333150646,-0.212248731073273,0.171612380373297
"TCGA.CK.5914.01A.11R.1653.07",-0.291749775170389,0.658330176825657,-0.549467223344158,-0.428566727707724,-0.180621966128328,-0.391319299992621,-0.320106791019226,-0.647590761535562,-0.0181618906121732,-1.01460894426492,-0.280361794619124,-0.559281379890903
"TCGA.G4.6588.01A.11R.1774.07",-0.285021506756306,-0.458409477708561,-0.0708979669282478,-0.210931623139308,-0.313089830299716,-0.614419639099528,-0.376712729796071,-0.347933850339745,-0.339001616718178,1.32807533862424,-0.217236993257201,-0.319352169030431
"TCGA.D5.6539.01A.11R.1723.07",-0.277285532009413,1.15593762293396,-0.597626445350343,-0.39160630079079,-0.58313160465211,-0.265438239309339,0.0145534181602797,-1.00263678465747,-0.0258034871746134,0.0661780083599198,-0.709047671523265,-0.591854329029924
"TCGA.F4.6806.01A.11R.1839.07",-0.269174170675118,-0.366789820167471,-0.331076331806595,-0.446568068773602,-0.499754512870992,-0.123866904182174,-0.275850976467751,-0.740222132407249,-0.350330180930175,-0.681451617304857,-0.217423502827942,-0.191397182145161
"TCGA.CM.5349.01A.21R.1723.07",-0.268476090812431,-0.341746823678523,0.194048917257749,0.869794229401912,0.866866089521152,0.696618044240447,0.34936110560965,0.213355321955415,0.62525603475571,-0.213512376144978,0.53484257797806,0.650507600975449
"TCGA.G4.6309.01A.21R.1839.07",-0.267520935761246,-0.660021048966589,-0.543869447472154,-0.752940762950297,-0.583586718187839,-0.643932389556589,-0.71524489960166,-0.855368981954207,-0.632575007942336,0.659616487289787,-0.492817047695274,-0.722305263162154
"TCGA.CK.6747.01A.11R.1839.07",-0.267120409776958,-0.449211802400389,-0.492189707881412,-0.468324795210832,-0.508822580158089,-0.24027902460446,-0.205352689636359,-0.640034249534043,-0.14254222460266,-0.480709095517906,-0.598106913379218,-0.556919443234384
"TCGA.D5.6927.01A.21R.1928.07",-0.258449022217113,-0.261196988172654,-0.225711345614863,0.327396068689407,0.364911182589653,-0.225335814702435,0.390907728598694,0.420641659329837,0.524727366956,0.263545011445115,-0.00376115054239707,0.316578336582648
"TCGA.AD.5900.01A.11R.1653.07",-0.245600091828943,-1.11408246040997,-0.355917564973403,-0.20379852138149,-0.371904647362768,0.479137549553185,-0.105202085972334,-0.235861544921554,0.40495292678397,0.976081980418057,0.58960225132555,-0.0391862783901036
"TCGA.NH.A8F7.01A.11R.A41B.07",-0.243980518141411,-0.0793258140936025,-0.454876691236803,-0.926995302684294,-0.622965648994605,-0.701032520093658,-0.80031624379726,-0.995938592061977,-0.808187960328604,-0.871250240407815,6.34310625333861,-0.708309532122991
